Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,3936,8.0,8,,,,,,,,
,,,,,3941,5.0,5,,,,,,,,
,,,,,3952,11.0,11,,,,,,,,
,,,,,3957,5.0,5,,,,,,,,
,,,,,3961,4.0,4,,,,,,,,
,,,,,3975,14.0,14,,,,,,,,
,,,,,3979,4.0,4,,,,,,,,
,,,,,3983,4.0,4,,,,,,,,
,,,,,3992,9.0,9,,,,,,,,
,,,,,4000,8.0,8,,,,,,,,
,,,,,4004,4.0,4,,,,,,,,
,,,,,4007,3.0,3,,,,,,,,
,,,,,4015,8.0,8,,,,,,,,
,,,,,4021,6.0,6,,,,,,,,
,,,,,4032,11.0,11,,,,,,,,
,,,,,4036,4.0,4,,,,,,,,
,,,,,4046,10.0,10,,,,,,,,
,,,,,4055,9.0,9,,,,,,,,
,,,,,4061,6.0,6,,,,,,,,
,,,,,4073,12.0,12,,,,,,,,
,,,,,4079,6.0,6,,,,,,,,
,,,,,4086,7.0,7,,,,,,,,
,,,,,4090,4.0,4,,,,,,,,
,,,,,4096,6.0,6,,,,,,,,
,,,,,4100,4.0,4,,,,,,,,
,,,,,4103,3.0,3,,,,,,,,
,,,,,4110,7.0,7,,,,,,,,
